For Modulo7

CPU usage(% of total),  DataSet Size(KB)
84.3, 2458
90.21, 1741
75.48, 1226
69.93, 750
66.93, 159

For jSymbolic

CPU usage(% of total), DataSet Size(KB)
35.25, 2458
47.91, 1741
42.76, 1226
31.32, 750
18.37, 159
