For Modulo7

Time Taken(seconds),  DataSet Size(KB)
20.3, 2458
16.7, 1741
13.2, 1226
9.2, 750
6.0, 159

For jSymbolic

Time Taken(seconds), DataSet Size(KB)
80.9, 2458
60.4, 1741
40.1, 1226
27.11, 750
7.2, 159
